cell,arm,seed,benchmark,language,n_samples,pass_at_1,maj_at_4,maj_at_8,se,ci_95_lo,ci_95_hi,ci_95_str
A2_123,A2,123.0,aime2024,en,30,0.1666666666666666,,0.3333333333333333,0.06804138174397716,0.033305558448471384,0.3000277748848618,"0.167 [0.033, 0.300]"
A2_123,A2,123.0,math500,en,500,0.62,,,0.021707141681944216,0.5774540023033894,0.6625459976966106,"0.620 [0.577, 0.663]"
A2_7,A2,7.0,aime2024,en,30,0.2666666666666666,,0.3666666666666666,0.08073734277593311,0.10842147482583772,0.42491185850749547,"0.267 [0.108, 0.425]"
A2_7,A2,7.0,math500,en,500,0.602,,,0.02189045454073533,0.5590947091001587,0.6449052908998413,"0.602 [0.559, 0.645]"
A2_7,A2,7.0,amc23,en,40,0.55,0.75,,0.07866066361276136,0.3958250993189878,0.7041749006810123,"0.550 [0.396, 0.704]"
A3_42,A3,42.0,aime2024,en,30,0.2333333333333333,,0.3666666666666666,0.07722022379508468,0.08198169469496733,0.38468497197169926,"0.233 [0.082, 0.385]"
A3_42,A3,42.0,math500,en,500,0.606,,,0.021852414054287,0.5631692684535975,0.6488307315464025,"0.606 [0.563, 0.649]"
A3_42,A3,42.0,amc23,en,40,0.525,0.0,,0.07895805848676878,0.3702422053659332,0.6797577946340668,"0.525 [0.370, 0.680]"
A3_123,A3,123.0,aime2024,en,30,0.2,,0.3666666666666666,0.07302967433402216,0.056861838305316575,0.3431381616946835,"0.200 [0.057, 0.343]"
A3_123,A3,123.0,amc23,en,40,0.55,0.7,,0.07866066361276136,0.3958250993189878,0.7041749006810123,"0.550 [0.396, 0.704]"
